bestandsnaam,categorie,oriëntatie,bron/licentie,generatiedatum_of_aankoopdatum,licentiestatus,gebruiksstatus,sha256,aanbevolen_sectie
hero/hero-torquepoint-showroom-01.svg,hero,landscape,Eigen ontwerp (SVG-illustratie, custom-made voor Lorenzo Web Studio),2026-08-04,geverifieerd,in-gebruik,34DDDC15760C3B068E51503181112DB9D14ABC931017143C2E1CFEC9B367BF75,hero;homepage-demo-card
gallery/vehicle-cityhatch-01.svg,gallery,landscape,Eigen ontwerp (SVG-illustratie, custom-made voor Lorenzo Web Studio),2026-08-04,geverifieerd,in-gebruik,0536731FB802ED3987C47383805FFEB539789BBF7A6B2DD4EE82501A60426024,voorraad
gallery/vehicle-familywagon-01.svg,gallery,landscape,Eigen ontwerp (SVG-illustratie, custom-made voor Lorenzo Web Studio),2026-08-04,geverifieerd,in-gebruik,E1962BB6FAB22129B0CEF45A3288626730043C2D0F195FEFC817CF82EDA3A362,voorraad
gallery/vehicle-suv-01.svg,gallery,landscape,Eigen ontwerp (SVG-illustratie, custom-made voor Lorenzo Web Studio),2026-08-04,geverifieerd,in-gebruik,D799FEFC53AEAA9473ECD699EFEF3A30CC8BFF516BFBA30DB93D84ABF5A9F830,voorraad
gallery/vehicle-electric-01.svg,gallery,landscape,Eigen ontwerp (SVG-illustratie, custom-made voor Lorenzo Web Studio),2026-08-04,geverifieerd,in-gebruik,472AB6AEB9E7ABDCD6BECD7ED76050D192AA0BCD3884781886B6BCCAC6895527,voorraad
gallery/vehicle-van-01.svg,gallery,landscape,Eigen ontwerp (SVG-illustratie, custom-made voor Lorenzo Web Studio),2026-08-04,geverifieerd,in-gebruik,AB51022602F791DFE5AFB775A36A91D8410D6F593B6E0E2EF5DDDF6F4DCACD2E,voorraad
gallery/vehicle-usedcar-01.svg,gallery,landscape,Eigen ontwerp (SVG-illustratie, custom-made voor Lorenzo Web Studio),2026-08-04,geverifieerd,in-gebruik,7D3C5A4DFEF0CC6F5C6B8C0D39168F593378365B0240A03629FF5CFAB079F762,voorraad
hero/hero-garage-bmw-blauw-showroom-4.jpg,hero,landscape,Eigen foto (showroom exterieur, TorquePoint demo),2026-08-04,geverifieerd,in-gebruik,B8DB0CC7845F730113C14A847D94D954C0D9F46A545A8715F5D82D7080752908,voorraad
hero/hero-garage-bmw-blauw-showroom.jpg,hero,landscape,Eigen foto (showroom exterieur, TorquePoint demo),2026-08-04,geverifieerd,in-gebruik,B1DEB34C69C58BAE7EAFFB38E6AC022EE786A59ADCA6EEA7A8FA7A493CCF3B10,voorraad
hero/hero-garage-bmw-blauw-showroom-3.jpg,hero,landscape,Eigen foto (showroom exterieur, TorquePoint demo),2026-08-04,geverifieerd,in-gebruik,11576B07C1D9B3AB724D103E14D7338A9EC0B1EDB7454D86D1CD675BEA945FA7,voorraad
hero/hero-garage-bmw-bordou-showroom.jpg,hero,landscape,Eigen foto (showroom exterieur, TorquePoint demo),2026-08-04,geverifieerd,in-gebruik,5BA665AD5319864E0CBA023C374BFB5B42FE6ED4B0A7CFB1FB89ECA9D12A71C0,voorraad
hero/hero-garage-bmw-wit-showroom.jpg,hero,landscape,Eigen foto (showroom exterieur, TorquePoint demo),2026-08-04,geverifieerd,in-gebruik,2C77B61458E427C9D1E4EA3DA1FF2C9DB90A46C9FC822D1A9EF2898C0E8ACB06,voorraad
hero/hero-garage-ford-mondeo-black-showroom.jpg,hero,landscape,Eigen foto (showroom exterieur, TorquePoint demo),2026-08-04,geverifieerd,in-gebruik,3C2B11F35E7F8DD703D5B31DFBD14514AD8ED8AEBE9DE67DD0DD15F4D658E4CE,voorraad
hero/category-garage-stadswagen-01.jpg,hero,landscape,AI-generated,2026-08-04,geverifieerd,in-gebruik,AF8E376A58168C2BDA5E4599C01D6EE9F9EA20B607CEF9C0704ED56EA468574E,categorieën
hero/category-garage-gezinswagen-01.jpg,hero,landscape,AI-generated,2026-08-04,geverifieerd,in-gebruik,7A6B533960AC3591D1484BF7A250078FB5297664005622609254B305CEE31330,categorieën
hero/category-garage-suv-volvo-xc40-01.jpg,hero,landscape,AI-generated,2026-08-04,geverifieerd,in-gebruik,7A6B533960AC3591D1484BF7A250078FB5297664005622609254B305CEE31330,categorieën
hero/category-garage-elektrisch-01.jpg,hero,landscape,AI-generated,2026-08-04,geverifieerd,in-gebruik,4E292805E50258D7DA6E1415E314924C7732A5F2B58801B9A2DA135D3449CDCC,categorieën
categories/category-garage-tweedehands-volvo-01.jpg,gallery,landscape,AI-generated,2026-08-04,geverifieerd,actief,33201B85953C8F875A8CFA85E36C1214D74D3DD2BDF271AB24E62C2133A40C47,Tweedehands
categories/category-garage-bedrijfswagen-volvo-01.jpg,Bedrijfswagens,landscape,AI-generated,2026-08-04,geverifieerd,actief,BFA065DC3457BCE36D08BE622572B41702779515D5B038C1E4F38CB751DE8772,categorieën
