filename,category,description,status
hero-luna-salon-01.jpg,hero,Fullscreen hero - luxe salon interieur of stylist aan het werk,pending
hero-luna-exterior-01.jpg,hero,Hero alternatief - exterieur salon goudavond,pending
interior-salon-chairs-01.jpg,interior,Salon interieur - kappersstoelen en spiegel,pending
interior-reception-01.jpg,interior,Salon interieur - receptie en wachtruimte,pending
service-knippen-01.jpg,services,Knippen - schaar en haar close-up,pending
service-kleuren-01.jpg,services,Kleuren - kleurproces verfborstel,pending
service-highlights-01.jpg,services,Highlights - folie applicatie,pending
service-balayage-01.jpg,services,Balayage - handgeschilderde techniek,pending
service-extensions-01.jpg,services,Extensions - haarverlengingen close-up,pending
service-styling-01.jpg,services,Styling - föhnen en brushout,pending
team-luna-martens-01.jpg,team,Luna Martens - oprichtster senior stylist portret,pending
team-sara-dubois-01.jpg,team,Sara Dubois - kleurspecialist portret,pending
team-nora-pieters-01.jpg,team,Nora Pieters - stylist en extensions expert portret,pending
result-before-balayage-01.jpg,gallery,Voor balayage - donkere haartint,pending
result-after-balayage-01.jpg,gallery,Na balayage - warme lichte tinten,pending
result-before-haircut-01.jpg,gallery,Voor knippen - oud kapsel,pending
result-after-haircut-01.jpg,gallery,Na knippen - fris nieuw kapsel,pending
result-before-highlights-01.jpg,gallery,Voor highlights - basiskleur,pending
result-after-highlights-01.jpg,gallery,Na highlights - glanzende lichtspelingen,pending
insta-01.jpg,social,Instagram inspiratie 1 - balayage look,pending
insta-02.jpg,social,Instagram inspiratie 2 - styling,pending
insta-03.jpg,social,Instagram inspiratie 3 - kleur resultaat,pending
insta-04.jpg,social,Instagram inspiratie 4 - knipresultaat,pending
insta-05.jpg,social,Instagram inspiratie 5 - salon sfeer,pending
insta-06.jpg,social,Instagram inspiratie 6 - team at work,pending
