bestandsnaam,categorie,oriëntatie,bron/licentie,generatiedatum_of_aankoopdatum,licentiestatus,gebruiksstatus,sha256,aanbevolen_sectie
hero/hero-cafe-terrace-01.svg,hero,portrait,Eigen ontwerp (SVG-illustratie, custom-made voor Lorenzo Web Studio),2026-08-04,geverifieerd,ongebruikt,E50AE13E14A6DD471C858E8C1629CD5E2287AE38AAEC004E7AE90A71FAB85A71,archief
hero/hero-cafe-terrace-sunset-01.jpg,hero,landscape,AI-generated by OpenAI image generation. Created exclusively for the Lorenzo Web Solutions demo project. Not copied from third-party websites or stock photo libraries.,,Original AI-generated asset,in-gebruik,A53B879526B480C7F1B50E0FCFA7C02A055DEA2D1295E9D5FAC187DFD25281A7,hero
hero/hero-cafe-interior-bar-01.jpg,hero,landscape,AI-generated by OpenAI image generation. Created exclusively for the Lorenzo Web Solutions demo project. Not copied from third-party websites or stock photo libraries.,,Original AI-generated asset,in-gebruik,54994A6D273C0D9B17D36A99D5181025BAE871C22A873F9C45013CB12B2A1BA6,dag-naar-avond;verhaal
gallery/gallery-live-music-01.jpg,gallery,landscape,AI-generated by OpenAI image generation. Created exclusively for the Lorenzo Web Solutions demo project. Not copied from third-party websites or stock photo libraries.,,Original AI-generated asset,in-gebruik,62DD4FFA401A3282B7AB35ABE936D44CF551B4EC01500B8D01C0A26B9BC4847C,live-muziek
gallery/gallery-friends-cheers-01.jpg,gallery,landscape,AI-generated by OpenAI image generation. Created exclusively for the Lorenzo Web Solutions demo project. Not copied from third-party websites or stock photo libraries.,,Original AI-generated asset,in-gebruik,997E40A7735D3ADA580A5568647DFE3C0D3CE8ADE1621A33C8A709E1E21F94B4,social-moment
drinks/drinks-special-beer-01.jpg,drinks,landscape,AI-generated by OpenAI image generation. Created exclusively for the Lorenzo Web Solutions demo project. Not copied from third-party websites or stock photo libraries.,,Original AI-generated asset,in-gebruik,D5895EFA14BB8D36B220CD5526385FE190AC4C641F77BD71BD4A6CD212BE3A8B,dranken-bier
drinks/drinks-cocktail-01.jpg,drinks,landscape,AI-generated by OpenAI image generation. Created exclusively for the Lorenzo Web Solutions demo project. Not copied from third-party websites or stock photo libraries.,,Original AI-generated asset,in-gebruik,9CC9E8840BA6EFC7DA589BCC7A153A23834A4C0CBB096975CDA5BE4C0D7E797A,dranken-cocktails
terrace/terrace-evening-01.jpg,terrace,landscape,AI-generated by OpenAI image generation. Created exclusively for the Lorenzo Web Solutions demo project. Not copied from third-party websites or stock photo libraries.,,Original AI-generated asset,in-gebruik,F42155BF4BA1D5954FB7E0C170BE78B31C33C11CEDD057D5D1258D76BE85B9C8,terras
menu/menu-tapas-board-01.jpg,menu,landscape,AI-generated by OpenAI image generation. Created exclusively for the Lorenzo Web Solutions demo project. Not copied from third-party websites or stock photo libraries.,,Original AI-generated asset,in-gebruik,ECF4833AACB6C07A5227C5CA962036E47DF3DDA8C9382540101578E330FFD49F,tapas
contact/contact-cafe-entrance-01.jpg,contact,landscape,AI-generated by OpenAI image generation. Created exclusively for the Lorenzo Web Solutions demo project. Not copied from third-party websites or stock photo libraries.,,Original AI-generated asset,in-gebruik,81730E03C74A5B385E00A358797A00146E63EB30E67BD05BB636F4BF6C10994A,bezoek-ons;dag-naar-avond
